x (m),Temperature (K),Tw(K),Velocity (m/s),Heat Release Rate (J/s/m3),X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_OHV,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_N2H2,X_H2NN,X_N2H3,X_N2H4,X_H2NO,X_HNO2,X_HONO2,X_HNOH,X_HONO,X_HON,X_NO3,X_N2O4,X_N2O3,X_CO,X_CO2,X_CH4,X_C2H6,X_HE,X_AR,X_N2
0,300,300,0.1,8.59445e-06,7.07081e-13,0,0,0.164062,5.82666e-22,3.97519e-17,0,0,0,5.06997e-15,0,6.97337e-15,0.21875,2.54818e-31,1.85078e-16,2.38477e-18,0,0,0,1.6489e-16,8.62176e-24,4.60235e-15,0,3.97687e-15,2.11195e-20,0,1.14608e-18,0,1.0339e-25,0,0,1.32261e-20,0,0,0,1.94327e-20,2.57204e-41,0.617187
0.01,300,300,0.1,8.04978e-07,9.64706e-12,0,0,0.164062,1.81879e-20,1.85649e-15,0,0,0,1.48657e-16,8.95179e-19,2.13203e-13,0.21875,1.24499e-29,8.85317e-15,1.68628e-16,0,0,0,3.83879e-18,5.16771e-22,3.82254e-14,0,3.97687e-15,2.11195e-20,0,1.14607e-18,0,1.57515e-23,0,0,1.32261e-20,0,0,0,1.94327e-20,2.57204e-41,0.617187
0.02,300.001,300,0.1,6.16348e-05,1.3195e-10,0,0,0.164062,0,1.81617e-14,1.71622e-14,0,0,4.39305e-18,7.2753e-25,1.21776e-11,0.21875,1.89816e-27,2.32777e-14,0,0,0,0,0,0,0,9.79164e-17,3.97687e-15,2.11195e-20,0,1.14526e-18,0,6.62918e-23,0,0,1.32261e-20,0,0,0,1.94328e-20,2.57204e-41,0.617187
0.025,300.149,300,0.10005,0.00421484,7.74409e-10,1.48126e-23,0,0.164062,2.13389e-20,3.08537e-13,3.92776e-13,0,0,2.58322e-19,4.29408e-20,1.00912e-10,0.21875,1.9141e-25,2.81285e-13,0,0,3.21822e-21,1.82316e-14,0,8.42001e-21,0,2.03989e-15,3.97687e-15,2.11195e-20,0,1.14113e-18,0,5.17994e-22,0,0,1.32261e-20,0,0,0,1.94328e-20,2.57205e-41,0.617187
0.0275,307.056,310,0.102352,0.00705336,2.58637e-09,2.33617e-22,0,0.164062,2.59755e-19,2.86917e-12,3.77759e-12,0,0,2.44491e-20,6.4475e-20,1.45694e-10,0.21875,2.69976e-24,2.62972e-12,0,0,4.25724e-20,5.29776e-13,0,6.39574e-21,0,1.31716e-14,3.97687e-15,2.11195e-20,0,1.16546e-18,3.17463e-39,4.25192e-21,0,0,1.32261e-20,0,0,0,1.94328e-20,2.57206e-41,0.617187
0.03,316.327,320,0.105442,0.00712487,9.85946e-09,4.32256e-21,3.53819e-17,0.164062,3.54874e-18,3.30047e-11,4.54832e-11,2.1671e-14,1.61655e-46,1.81549e-21,8.60946e-20,1.68017e-10,0.21875,4.27065e-23,3.11997e-11,5.07831e-14,0,7.7147e-19,7.239e-12,0,0,0,9.09248e-14,3.97687e-15,2.11195e-20,0,1.68437e-18,2.33174e-36,5.50401e-20,0,0,1.32261e-20,0,0,0,1.94328e-20,2.57206e-41,0.617187
0.0325,332.443,338.75,0.110814,40.0933,3.80855e-08,1.70251e-19,9.55212e-16,0.164062,1.27717e-14,3.71201e-10,5.39826e-10,3.89129e-13,2.67627e-43,5.4267e-22,2.97347e-13,1.96851e-11,0.21875,8.63408e-22,3.64882e-10,9.54514e-13,4.7064e-15,1.60246e-16,8.82206e-11,0,1.18484e-15,0,2.52516e-13,3.97687e-15,2.11195e-20,1.20481e-18,1.09149e-17,7.43619e-34,6.3762e-19,0,0,1.32261e-20,0,0,0,1.94328e-20,2.57207e-41,0.617187
0.035,354.536,362.5,0.118179,17.3207,1.43426e-07,7.21122e-19,2.80593e-15,0.164062,2.41803e-14,1.02556e-09,1.14745e-09,1.62491e-12,5.70708e-42,2.08064e-21,5.92814e-13,6.44731e-11,0.21875,2.20737e-21,1.00442e-09,4.74489e-12,2.23065e-14,7.54358e-16,7.40399e-11,9.44307e-18,1.7186e-15,0,1.17651e-12,3.97688e-15,2.11195e-20,1.91697e-17,4.43956e-17,1.26454e-32,3.5601e-18,0,0,1.32261e-20,0,0,0,1.94328e-20,2.57213e-41,0.617187
0.0375,387.827,399.151,0.129276,2.53213,5.15119e-07,1.96955e-18,5.99672e-15,0.164062,3.21883e-14,1.95492e-09,1.70194e-09,3.36707e-12,6.60309e-41,1.10764e-20,8.42155e-13,3.79599e-10,0.21875,2.3574e-21,1.88646e-09,1.25562e-11,5.6387e-14,3.23851e-15,0,2.01759e-16,2.03431e-15,0,5.76957e-12,3.97691e-15,2.11195e-20,2.1117e-16,1.1068e-16,1.04082e-31,1.55738e-17,0,0,1.32261e-20,0,0,0,1.94328e-20,2.57272e-41,0.617187
0.04,430.378,443.488,0.14346,0.74461,1.75296e-06,4.7031e-18,1.09555e-14,0.164062,3.69281e-14,3.10037e-09,1.87084e-09,5.29043e-12,5.8229e-40,2.52417e-20,1.0362e-12,1.04868e-09,0.21875,0,2.83945e-09,2.20828e-11,1.04287e-13,1.263e-14,0,8.11055e-16,8.68013e-16,0,1.57626e-11,3.97703e-15,2.11195e-20,2.12712e-15,3.03033e-16,5.90337e-31,5.46222e-17,1.37105e-25,0,1.32261e-20,0,0,0,1.94327e-20,2.57851e-41,0.617186
