x (m),Temperature (K),Tw(K),Velocity (m/s),Heat Release Rate (J/s/m3),X_HE,X_AR,X_N2,X_H2,X_O2,X_H,X_O,X_OH,X_HO2,X_H2O,X_H2O2,X_OH*,X_N,X_NH3,X_NH2,X_NH,X_NNH,X_NO,X_N2O,X_HNO,X_HON,X_H2NO,X_HNOH,X_NH2OH,X_NO2,X_HONO,X_HNO2,X_NO3,X_HONO2,X_N2H2,X_H2NN,X_N2H4,X_N2H3
0,373,373,0.027,5.7647e-06,2.64938e-20,0.631579,1.39234e-11,5.89276e-07,0.157895,0,0,0,6.11196e-14,5.68136e-10,2.54337e-14,0,0,0.210526,3.55993e-11,0,3.7405e-25,2.80374e-13,1.40573e-14,1.76566e-15,1.10445e-15,2.03907e-14,1.54394e-18,3.94242e-15,2.61871e-14,3.62214e-16,3.08022e-20,0,2.20894e-20,3.43468e-14,0,0,0
0.001625,373.003,373,0.0270002,2.19478e-05,2.64948e-20,0.631578,3.40695e-11,8.0785e-07,0.157895,3.73087e-20,0,0,1.50097e-13,1.31347e-09,6.27375e-14,0,0,0.210526,6.70222e-11,0,9.24375e-25,6.93522e-13,4.16139e-14,4.35225e-15,2.72244e-15,5.0508e-14,3.82435e-18,9.81085e-15,7.21051e-14,1.08222e-15,4.66474e-20,0,2.21298e-20,8.53369e-14,0,0,0
0.00325,373.04,373,0.0270029,5.63155e-05,2.64959e-20,0.631578,8.33601e-11,1.10747e-06,0.157895,8.25502e-20,0,0,3.4924e-13,3.03644e-09,1.63208e-13,0,0,0.210526,1.07034e-10,0,3.65891e-24,1.71948e-12,1.23122e-13,1.05048e-14,6.7104e-15,1.24951e-13,9.49284e-18,2.44136e-14,1.98742e-13,3.23417e-15,9.87477e-20,0,2.22728e-20,2.12015e-13,0,0,0
0.0040625,373.236,373,0.0270171,8.35516e-05,2.64965e-20,0.631578,1.34723e-10,1.29887e-06,0.157895,1.19518e-19,0,0,5.47382e-13,4.74459e-09,2.7317e-13,0,0,0.210526,1.3e-10,0,7.23491e-24,2.80186e-12,2.23642e-13,1.6608e-14,1.08931e-14,2.0312e-13,1.5494e-17,3.98588e-14,3.45599e-13,5.91447e-15,1.69469e-19,0,2.24804e-20,3.45811e-13,0,0,0
0.004875,374.194,373,0.0270865,0.000119352,2.6497e-20,0.631578,2.23026e-10,1.52527e-06,0.157894,1.75475e-19,0,0,8.82048e-13,7.56542e-09,4.66647e-13,0,0,0.210526,1.55133e-10,0,1.43631e-23,4.68009e-12,4.22023e-13,2.66951e-14,1.81217e-14,3.38343e-13,2.59411e-17,6.6733e-14,6.20971e-13,1.12471e-14,3.20704e-19,0,2.29501e-20,5.78362e-13,0,0,0
0.0056875,378.966,379.462,0.0274319,0.000160182,2.64974e-20,0.631578,3.73367e-10,1.79071e-06,0.157894,2.87228e-19,0,0,1.44747e-12,1.21731e-08,8.01449e-13,0,0,0.210526,1.82113e-10,0,2.79333e-23,7.90732e-12,8.09459e-13,4.30626e-14,3.04919e-14,5.69856e-13,4.39597e-17,1.13036e-13,1.13214e-12,2.17471e-14,6.40712e-19,0,2.40018e-20,9.78706e-13,0,0,0
0.0065,385.648,387.1,0.0279156,0.000207759,2.64976e-20,0.631578,6.27356e-10,2.10061e-06,0.157894,4.91038e-19,0,1.67644e-22,2.40187e-12,1.96289e-08,1.3737e-12,0,0,0.210526,2.10955e-10,0,5.34159e-23,1.34091e-11,1.55899e-12,6.91944e-14,5.14948e-14,9.62903e-13,7.48071e-17,1.92184e-13,2.07269e-12,4.22277e-14,1.31112e-18,0,2.63306e-20,1.66275e-12,8.56537e-20,0,0
0.008125,400.652,402.375,0.0290017,0.00033644,2.64979e-20,0.631577,1.63835e-09,2.8646e-06,0.157894,1.41698e-18,0,1.49588e-19,6.21766e-12,4.76769e-08,3.67658e-12,0,0,0.210526,2.74488e-10,0,1.73934e-22,3.55541e-11,5.07131e-12,1.65014e-13,1.35593e-13,2.53558e-12,1.99666e-16,5.11742e-13,6.22387e-12,1.39151e-13,4.76377e-18,0,3.91198e-20,4.42491e-12,3.82963e-18,0,5.69901e-14
0.00975,416.52,417.65,0.0301503,0.000553097,2.6498e-20,0.631577,3.95632e-09,3.86797e-06,0.157894,3.9335e-18,0,6.09982e-19,1.50924e-11,1.07772e-07,9.00635e-12,0,0,0.210525,3.49336e-10,0,5.11319e-22,8.70021e-11,1.47048e-11,3.52243e-13,3.29651e-13,6.14845e-12,4.92485e-16,1.25603e-12,1.69031e-11,4.08122e-13,1.52687e-17,8.86063e-21,8.07886e-20,1.08645e-11,1.57355e-17,0,2.56637e-13
0.011375,439.717,442,0.0318295,0.000926912,2.64981e-20,0.631576,9.11038e-09,5.1592e-06,0.157894,1.23343e-17,0,1.88136e-18,3.52183e-11,2.32088e-07,2.09499e-11,0,0,0.210525,4.42829e-10,0,1.39753e-21,2.02936e-10,4.0212e-11,6.84227e-13,7.63743e-13,1.41746e-11,1.15961e-15,2.93636e-12,4.34709e-11,1.12878e-12,4.60776e-17,1.981e-19,2.11309e-19,2.54315e-11,4.37631e-17,0,8.35222e-13
0.013,465.554,468,0.0336998,0.0017205,2.64979e-20,0.631575,2.02925e-08,6.80431e-06,0.157894,3.92121e-17,0,5.63176e-18,7.98173e-11,4.81822e-07,4.70444e-11,0,0,0.210524,5.71993e-10,0,3.75695e-21,4.57826e-10,1.05738e-10,1.21662e-12,1.71077e-12,3.15301e-11,2.64401e-15,6.63554e-12,1.07692e-10,3.00181e-12,1.33535e-16,7.81318e-19,6.0572e-19,5.75996e-11,1.09243e-16,0,2.37322e-12
0.01625,522.549,525,0.0378257,0.00656307,2.64972e-20,0.631572,7.7571e-08,1.12203e-05,0.157893,3.70195e-16,3.84533e-18,3.99404e-17,3.14287e-10,1.64023e-06,1.81726e-10,5.55455e-41,0,0.210522,1.01016e-09,0,2.21045e-20,1.78394e-09,5.11048e-10,2.85762e-12,6.59012e-12,1.19789e-10,1.04952e-14,2.58951e-11,4.78672e-10,1.47409e-11,7.38323e-16,5.30613e-18,3.51421e-18,2.25969e-10,4.80652e-16,0,1.20078e-11
0.0195,587.257,590,0.0425099,0.027694,2.64959e-20,0.631569,2.45963e-07,1.76258e-05,0.157891,3.46078e-15,7.74864e-17,2.4954e-16,1.03187e-09,4.66362e-06,5.80332e-10,2.66992e-38,1.75793e-24,0.210517,1.99307e-09,1.73022e-17,1.21143e-19,5.75897e-09,1.95698e-09,4.85353e-12,2.10153e-11,3.7222e-10,3.637e-14,8.34769e-11,1.71195e-09,5.72962e-11,3.40554e-15,2.8982e-17,1.57244e-17,7.3328e-10,2.0057e-15,0,4.79294e-11
