x (m),Temperature (K),Tw(K),Velocity (m/s),Heat Release Rate (J/s/m3),X_h2,X_h,X_ch4,X_ch3,X_ch2,X_ch,X_ch2o,X_hco,X_co2,X_co,X_o2,X_o,X_oh,X_ho2,X_h2o2,X_h2o,X_c2h,X_hcco,X_c2h2,X_c2h3,X_c2h4,X_c2h5,X_c2h6,X_ch2oh,X_ch3o,X_hccoh,X_h2ccch,X_c3h2,X_ch2(s),X_ch2co,X_c2o,X_hcoh,X_ch3oh,X_ch2hco,X_c3h6,X_ac3h5,X_pc3h5,X_sc3h5,X_ch2chcho,X_pc3h4,X_ac3h4,X_ch3co,X_ch2chco,X_ch3chco,X_ch3hco,X_chocho,X_ic3h7,X_nc3h7,X_c2h5oh,X_c2h4oh,X_ch3choh,X_ch3ch2o,X_ch2chch2o,X_hcooh,X_c3h8,X_hoc2h4o2,X_n2
0,300,300,0.02,324253,3.52672e-13,0,0,4.67366e-16,1.14351e-13,2.94323e-14,9.42702e-17,3.7483e-24,5.73593e-15,1.03234e-15,0.196262,0,0,4.42827e-16,0,1.69524e-16,0,0,0,2.24128e-18,0,1.87049e-30,1.88555e-16,0,3.35376e-25,5.76735e-15,0,0,2.03297e-30,0,0,0,0,5.34926e-28,0,0,1.88741e-41,0,0,1.36173e-17,0,2.2592e-25,3.95878e-15,0,0,0,0,0,0.0654206,0,0,0,0,0,0,0,0.738318
0.01,300,300,0.02,3.69064e-05,4.59688e-12,0,1.49008e-14,2.2272e-14,1.83314e-21,3.28739e-26,6.54648e-15,2.58124e-22,3.14562e-14,5.35545e-14,0.196262,0,0,2.29939e-14,0,8.12563e-15,0,0,0,5.23165e-25,0,1.36091e-28,1.38362e-14,0,2.34091e-23,5.76735e-15,0,0,9.52387e-29,0,0,0,0,4.3303e-26,0,0,1.50942e-39,9.12476e-36,0,1.36173e-17,0,1.82903e-23,3.95879e-15,0,0,0,0,0,0.0654206,0,0,0,0,0,0,0,0.738318
0.015,300,300,0.02,2.44254e-05,2.78105e-11,7.70348e-29,2.74181e-13,1.49425e-12,5.95839e-29,1.22772e-38,7.17452e-15,0,3.14562e-14,5.35545e-14,0.196262,0,4.84066e-23,3.49705e-13,0,9.08392e-15,0,0,0,2.53885e-31,0,0,0,0,2.31633e-20,5.76735e-15,0,0,0,0,0,3.69439e-37,0,2.27608e-30,0,0,0,0,0,1.36173e-17,0,5.41796e-22,3.95878e-15,0,1.1495e-13,0,0,0,0.0654206,1.27867e-22,1.65565e-21,7.81135e-19,0,0,0,0,0.738318
0.02,300,300,0.02,0.000147343,2.04437e-10,6.97214e-28,1.76455e-12,7.33073e-12,2.47667e-32,0,2.01723e-14,0,3.14562e-14,5.35547e-14,0.196262,0,1.01865e-21,1.99682e-12,0,2.62852e-14,0,0,0,4.54174e-33,0,0,0,0,6.49411e-19,5.76735e-15,0,0,1.77425e-33,0,0,3.81601e-35,0,1.76319e-28,0,0,0,0,0,1.36173e-17,0,4.68924e-21,3.95875e-15,0,1.35927e-12,0,0,0,0.0654206,6.39518e-22,8.15644e-21,3.84322e-18,0,0,0,4.8243e-14,0.738318
0.0225,300,300,0.02,0.00354276,7.30481e-10,7.76404e-27,6.67622e-12,6.43793e-11,8.09503e-30,0,1.21597e-13,1.16696e-30,3.14562e-14,5.35562e-14,0.196262,0,2.98153e-20,7.01397e-12,0,1.36978e-13,0,0,0,0,0,0,0,0,2.00146e-17,5.76735e-15,0,0,5.10999e-31,0,0,9.80034e-33,0,6.81572e-27,0,0,0,0,0,1.36173e-17,0,3.68589e-20,3.9587e-15,0,5.95294e-12,0,0,0,0.0654206,5.9425e-21,7.23712e-20,3.40446e-17,0,0,0,2.45486e-13,0.738318
0.025,300.043,300,0.0200029,0.0131952,2.99449e-09,3.41649e-26,1.65726e-11,1.34135e-10,1.03739e-28,1.93997e-56,5.565e-13,1.52597e-29,3.14562e-14,5.35768e-14,0.196262,0,1.49833e-19,1.71312e-11,0,5.84911e-13,0,0,0,0,0,0,0,0,1.01805e-16,5.76735e-15,0,0,6.55018e-30,0,0,1.02632e-31,0,3.69616e-26,0,0,0,0,0,1.36173e-17,0,1.54151e-19,3.95857e-15,0,1.546e-11,0,0,0,0.0654206,1.37876e-20,1.54695e-19,7.23068e-17,0,0,0,6.90202e-13,0.738318
0.02625,301.897,302.225,0.0201265,0.0186722,6.91082e-09,9.0608e-26,2.33596e-11,1.61254e-10,2.12952e-28,3.45379e-56,9.20857e-13,3.11686e-29,3.14562e-14,5.36849e-14,0.196262,0,2.50761e-19,2.4004e-11,0,9.65783e-13,0,0,0,0,0,0,0,0,1.66969e-16,5.76735e-15,0,0,1.34326e-29,0,0,2.05636e-31,0,6.80845e-26,0,0,0,0,0,1.36173e-17,0,2.47698e-19,3.95848e-15,0,2.18988e-11,0,0,0,0.0654206,1.96656e-20,2.09095e-19,9.55109e-17,0,0,0,1.00639e-12,0.738318
0.0275,307.044,308.15,0.0204696,0.0230893,1.71218e-08,3.22768e-25,3.31526e-11,1.79445e-10,3.74055e-28,8.55841e-56,1.46643e-12,5.30844e-29,3.14567e-14,5.44648e-14,0.196262,0,3.87288e-19,3.37633e-11,0,1.56293e-12,0,0,0,0,0,0,0,0,2.43057e-16,5.76735e-15,0,0,2.35241e-29,0,0,3.49377e-31,0,1.33277e-25,0,0,0,0,0,1.36173e-17,0,3.77258e-19,3.95834e-15,0,3.11183e-11,0,0,0,0.0654206,3.13289e-20,3.12221e-19,1.34847e-16,0,0,0,1.48366e-12,0.738318
0.02875,315.862,317.825,0.0210574,0.0260034,4.33006e-08,1.43727e-24,4.80474e-11,1.87239e-10,5.8827e-28,2.99407e-55,2.22334e-12,7.91866e-29,3.14613e-14,5.99742e-14,0.196262,0,5.66494e-19,4.83231e-11,0,2.58553e-12,0,0,0,0,0,0,0,0,3.22296e-16,5.76735e-15,0,0,3.67854e-29,0,0,5.23239e-31,0,2.86374e-25,0,0,0,0,1.53456e-21,1.36173e-17,0,5.13946e-19,3.95815e-15,0,4.50959e-11,4.82512e-28,0,0,0.0654206,5.66541e-20,5.23124e-19,2.06513e-16,0,0,0,2.25016e-12,0.738318
0.029375,321.656,324.237,0.0214437,0.02721,7.16296e-08,3.35356e-24,5.80303e-11,1.87529e-10,7.10576e-28,6.09842e-55,2.66757e-12,9.26412e-29,3.14773e-14,7.51101e-14,0.196262,0,6.71344e-19,5.78959e-11,0,3.68304e-12,0,0,0,1.23057e-31,0,0,0,0,3.5895e-16,5.76735e-15,0,0,4.42491e-29,0,0,6.13706e-31,0,4.30587e-25,0,0,0,0,1.25203e-19,1.36174e-17,0,5.60657e-19,3.95803e-15,0,5.42383e-11,3.05588e-27,0,0,0.0654206,7.97806e-20,7.0491e-19,2.62978e-16,0,0,0,2.76816e-12,0.738318
0.03,328.399,331.3,0.0218933,0.0281201,1.21401e-07,8.23606e-24,7.13037e-11,1.8358e-10,8.31357e-28,1.31077e-54,3.17754e-12,1.05252e-28,3.15553e-14,1.34744e-13,0.196262,0,7.88062e-19,7.03621e-11,0,6.56307e-12,0,0,0,8.2797e-31,5.55653e-15,0,0,0,3.92843e-16,5.76735e-15,0,0,5.14996e-29,0,0,6.95907e-31,0,6.60322e-25,0,0,0,0,2.96625e-19,1.36176e-17,0,5.69598e-19,3.95788e-15,0,6.62061e-11,1.82393e-26,0,4.41644e-28,0.0654206,1.14768e-19,9.63408e-19,3.3719e-16,0,0,0,3.47695e-12,0.738318
